scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_27b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,0.03324444444444444,-0.08000000000000002,0.14906666666666663,0.22117299800998247,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,-0.018000000000000006,-0.03444444444444446,-0.00044444444444445287,-0.7917052668259467,5
qwen35_4b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,0.08511111111111111,0.0024444444444444483,0.16777777777777778,0.8134541304756369,5
qwen35_9b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,-0.04777777777777777,-0.09177777777777778,-0.0022222222222222122,-0.8227499283667509,5
qwen36_27b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,-0.001777777777777781,-0.06155555555555557,0.05911111111111113,-0.02239175239734553,5
qwen36_35b_a3b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,0.053555555555555544,-0.0013333333333333571,0.11355555555555556,0.7129054367222101,5
qwen35_4b,formality_request,style_scalar_mae,prompt_temperature_interaction,0.035111111111111114,0.0006666666666666664,0.07733333333333334,0.7315677267593809,5
qwen35_9b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.00022222222222222643,-0.023777777777777787,0.030666666666666665,-0.006076810171558226,5
qwen36_27b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.036399999999999995,-0.08488888888888889,0.005866666666666678,-0.6161435558020645,5
qwen36_35b_a3b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.022222222222222223,-0.057333333333333326,0.012888888888888875,-0.4951496274255769,5
qwen35_4b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.010666666666666666,-0.05244444444444444,0.031111111111111117,-0.1972246553591906,5
qwen35_9b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,0.018222222222222216,-0.01822222222222224,0.04444444444444445,0.44482192949428967,5
qwen36_27b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.0024444444444444656,-0.03844444444444445,0.03355555555555552,-0.05154472793485144,5
qwen36_35b_a3b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.009777777777777774,-0.06466666666666668,0.0428888888888889,-0.13982882169414443,5
qwen35_4b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,-0.028000000000000014,-0.09155555555555558,0.02400000000000001,-0.3813064401207516,5
qwen35_9b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,0.0422222222222222,-0.008000000000000024,0.09244444444444441,0.6518384272923641,5
qwen36_27b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,0.042622222222222214,-0.024266666666666683,0.09862222222222221,0.5243271787144228,5
qwen36_35b_a3b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,-0.04222222222222222,-0.0771111111111111,-0.010000000000000005,-0.9689590623444057,5
qwen35_4b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.011555555555555569,-0.09177777777777776,0.05266666666666664,-0.12681229574226202,5
qwen35_9b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,0.02355555555555555,-0.03666666666666667,0.11533333333333333,0.23189558051371847,5
qwen36_27b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.04302222222222222,-0.17706666666666665,0.0657777777777778,-0.2889652660647828,5
qwen36_35b_a3b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.034,-0.05777777777777775,-0.009111111111111144,-1.1160156011575906,5
all_models,all,naturalness,prompt_P2_minus_P1,0.03187499999999998,-0.010833333333333379,0.07583333333333332,0.14066396935886252,40
qwen35_4b,all,naturalness,prompt_P2_minus_P1,-0.11583333333333337,-0.18249999999999994,-0.04833333333333334,-0.45528709269808376,40
qwen35_9b,all,naturalness,prompt_P2_minus_P1,-0.1291666666666667,-0.20166666666666674,-0.05331250000000023,-0.47382611780809847,40
qwen36_27b,all,naturalness,prompt_P2_minus_P1,0.20083333333333328,0.09499999999999997,0.30666666666666653,0.396989718484667,40
qwen36_35b_a3b,all,naturalness,prompt_P2_minus_P1,0.17166666666666666,0.0975,0.24499999999999997,0.45542356043363297,40
qwen35_4b,concision_detail,naturalness,prompt_P2_minus_P1,-0.01999999999999985,-0.09999999999999978,0.10000000000000005,-0.15596257347300985,5
qwen35_9b,concision_detail,naturalness,prompt_P2_minus_P1,-0.2666666666666667,-0.46000000000000013,-0.10000000000000005,-1.1428571428571428,5
qwen36_27b,concision_detail,naturalness,prompt_P2_minus_P1,0.0666666666666667,-0.2466666666666668,0.3533333333333332,0.16933350266692068,5
