timestamp_utc,gpu_index,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w
2026-09-15T12:28:21.282545Z,1,NVIDIA L20Z,4,81559,0,30,69.85
2026-09-15T12:28:21.282545Z,2,NVIDIA L20Z,643,81559,0,39,127.71
2026-09-15T12:28:21.282545Z,3,NVIDIA L20Z,4,81559,0,35,116.89
2026-09-15T12:28:21.282545Z,4,NVIDIA L20Z,72262,81559,49,55,524.26
2026-09-15T12:28:21.282545Z,5,NVIDIA L20Z,71622,81559,64,63,501.73
2026-09-15T12:28:21.282545Z,6,NVIDIA L20Z,71304,81559,83,50,370.61
2026-09-15T12:28:21.282545Z,7,NVIDIA L20Z,70664,81559,28,51,274.08
2026-09-15T12:28:26.834384Z,0,NVIDIA L20Z,4,81559,0,32,70.07
2026-09-15T12:28:26.834384Z,1,NVIDIA L20Z,4,81559,0,30,69.91
2026-09-15T12:28:26.834384Z,2,NVIDIA L20Z,4,81559,0,37,71.77
2026-09-15T12:28:26.834384Z,3,NVIDIA L20Z,4,81559,0,34,73.87
2026-09-15T12:28:26.834384Z,4,NVIDIA L20Z,72262,81559,0,46,131.46
2026-09-15T12:28:26.834384Z,5,NVIDIA L20Z,71622,81559,0,56,135.10
2026-09-15T12:28:26.834384Z,6,NVIDIA L20Z,71304,81559,91,50,366.93
2026-09-15T12:28:26.834384Z,7,NVIDIA L20Z,70664,81559,25,52,285.03
2026-09-15T12:28:32.003730Z,0,NVIDIA L20Z,4,81559,0,32,70.05
2026-09-15T12:28:32.003730Z,1,NVIDIA L20Z,4,81559,0,30,69.87
2026-09-15T12:28:32.003730Z,2,NVIDIA L20Z,4,81559,0,36,71.73
2026-09-15T12:28:32.003730Z,3,NVIDIA L20Z,4,81559,0,34,73.71
2026-09-15T12:28:32.003730Z,4,NVIDIA L20Z,72262,81559,0,43,129.24
2026-09-15T12:28:32.003730Z,5,NVIDIA L20Z,71622,81559,0,54,134.41
