scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_35b_a3b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.034,-0.0577777777777777,-0.0091111111111111,-1.1160156011575906,5
all_models,all,naturalness,prompt_P2_minus_P1,0.0318749999999999,-0.0108333333333333,0.0758333333333333,0.1406639693588625,40
qwen35_4b,all,naturalness,prompt_P2_minus_P1,-0.1158333333333333,-0.1824999999999999,-0.0483333333333333,-0.4552870926980837,40
qwen35_9b,all,naturalness,prompt_P2_minus_P1,-0.1291666666666667,-0.2016666666666667,-0.0533125000000002,-0.4738261178080984,40
qwen36_27b,all,naturalness,prompt_P2_minus_P1,0.2008333333333332,0.0949999999999999,0.3066666666666665,0.396989718484667,40
qwen36_35b_a3b,all,naturalness,prompt_P2_minus_P1,0.1716666666666666,0.0975,0.2449999999999999,0.4554235604336329,40
qwen35_4b,concision_detail,naturalness,prompt_P2_minus_P1,-0.0199999999999998,-0.0999999999999997,0.1,-0.1559625734730098,5
qwen35_9b,concision_detail,naturalness,prompt_P2_minus_P1,-0.2666666666666667,-0.4600000000000001,-0.1,-1.1428571428571428,5
qwen36_27b,concision_detail,naturalness,prompt_P2_minus_P1,0.0666666666666667,-0.2466666666666668,0.3533333333333332,0.1693335026669206,5
qwen36_35b_a3b,concision_detail,naturalness,prompt_P2_minus_P1,-0.0466666666666666,-0.1599999999999999,0.0333333333333332,-0.3639126714370257,5
qwen35_4b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.1866666666666666,-0.3199999999999999,-0.0066666666666666,-0.8876596749275375,5
qwen35_9b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.2333333333333334,-0.4400000000000003,-0.0400000000000001,-0.9312661473328347,5
qwen36_27b,emotion_apology,naturalness,prompt_P2_minus_P1,-0.1533333333333334,-0.3866666666666668,0.06,-0.535463226756677,5
qwen36_35b_a3b,emotion_apology,naturalness,prompt_P2_minus_P1,0.0466666666666667,-0.2133333333333335,0.2266666666666669,0.1635219465768382,5
qwen35_4b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.0666666666666666,-2.1649348980190552e-16,0.1133333333333334,0.8528028654224401,5
qwen35_9b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.12,-0.0533333333333334,0.3066666666666667,0.5262348115842176,5
qwen36_27b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.14,-0.0199999999999999,0.2799999999999999,0.7129918293382962,5
qwen36_35b_a3b,empathy_clinical,naturalness,prompt_P2_minus_P1,0.0133333333333333,-0.2,0.3133333333333333,0.0405511869949687,5
qwen35_4b,expertise_explain,naturalness,prompt_P2_minus_P1,0.0733333333333332,-0.2333333333333334,0.3933333333333333,0.1786199199627935,5
qwen35_9b,expertise_explain,naturalness,prompt_P2_minus_P1,-0.1266666666666666,-0.3733333333333334,0.1600000000000001,-0.3563718276007177,5
qwen36_27b,expertise_explain,naturalness,prompt_P2_minus_P1,0.6599999999999999,0.3066666666666666,0.8733333333333334,1.6812293370131692,5
qwen36_35b_a3b,expertise_explain,naturalness,prompt_P2_minus_P1,0.8466666666666665,0.5466666666666666,1.06,2.4693968099345502,5
qwen35_4b,formality_request,naturalness,prompt_P2_minus_P1,-0.2133333333333333,-0.5200000000000001,0.0466666666666665,-0.5986277688174014,5
qwen35_9b,formality_request,naturalness,prompt_P2_minus_P1,-0.2066666666666667,-0.4000000000000002,0.04,-0.72220076740448,5
qwen36_27b,formality_request,naturalness,prompt_P2_minus_P1,0.0799999999999998,-0.0533333333333334,0.2466666666666664,0.4289820032418971,5
qwen36_35b_a3b,formality_request,naturalness,prompt_P2_minus_P1,0.2066666666666666,0.0066666666666666,0.3866666666666666,0.8500331705159768,5
qwen35_4b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.3133333333333333,-0.5000000000000002,-0.1799999999999997,-1.4626918036102698,5
qwen35_9b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.1666666666666666,-0.3066666666666667,-0.06,-1.0314212462587933,5
qwen36_27b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.0333333333333333,-0.1133333333333333,0.0599999999999999,-0.2948839123097946,5
qwen36_35b_a3b,humor_neutral,naturalness,prompt_P2_minus_P1,-0.1333333333333333,-0.3,0.0333333333333333,-0.6135719910778961,5
