model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen35_35b_a3b,text2vec_base_chinese,0.17550259340939636,0.171547582990717,0.17950915251686603,320,mae_5_point_raw
qwen35_4b,bge_m3,0.2088578068459666,0.20507336006192356,0.21272301606434835,320,mae_5_point_raw
qwen35_4b,multilingual_e5_large_instruct,0.20201742160803854,0.1978885838970034,0.20611669579358358,320,mae_5_point_raw
qwen35_4b,text2vec_base_chinese,0.19464285909931264,0.19043590082303752,0.19872619325735894,320,mae_5_point_raw
qwen35_9b,bge_m3,0.16137452420761347,0.15772513356149184,0.16511819977036132,320,mae_5_point_raw
qwen35_9b,multilingual_e5_large_instruct,0.1584125475399398,0.15432319315335652,0.16261029475076821,320,mae_5_point_raw
qwen35_9b,text2vec_base_chinese,0.14848843149404406,0.1446862539937782,0.15236153361264268,320,mae_5_point_raw
qwen36_27b,bge_m3,0.18965391375162857,0.18557045788919094,0.19386545700643962,320,mae_5_point_raw
qwen36_27b,multilingual_e5_large_instruct,0.1895093792013482,0.18495004773233475,0.19413149770337051,320,mae_5_point_raw
qwen36_27b,text2vec_base_chinese,0.1885392626725611,0.18410734922202868,0.19298479077326963,320,mae_5_point_raw
qwen36_35b_a3b,bge_m3,0.1781969512556854,0.17430069328322312,0.18212480138833081,320,mae_5_point_raw
qwen36_35b_a3b,multilingual_e5_large_instruct,0.17367725650090032,0.16946206096361963,0.17789770028058202,320,mae_5_point_raw
qwen36_35b_a3b,text2vec_base_chinese,0.16647974551020303,0.162304133659458,0.1706021247618925,320,mae_5_point_raw
qwen35_35b_a3b,bge_m3,0.0530731589311831,0.05197652548295758,0.05421958544080294,320,absolute_underestimate
qwen35_35b_a3b,multilingual_e5_large_instruct,0.05328198092182106,0.0519602798170182,0.054625491698925534,320,absolute_underestimate
qwen35_35b_a3b,text2vec_base_chinese,0.050143598116970334,0.0490135951402048,0.0512883292905331,320,absolute_underestimate
qwen35_4b,bge_m3,0.05967365909884752,0.05859238858912094,0.06077800458981373,320,absolute_underestimate
qwen35_4b,multilingual_e5_large_instruct,0.057719263316582434,0.056539595399143834,0.05889048451245246,320,absolute_underestimate
qwen35_4b,text2vec_base_chinese,0.05561224545694641,0.054410257378010654,0.056778912359245357,320,absolute_underestimate
qwen35_9b,bge_m3,0.04610700691646093,0.04506432387471188,0.04717662850581744,320,absolute_underestimate
qwen35_9b,multilingual_e5_large_instruct,0.04526072786855423,0.044092340900959016,0.046460084214505204,320,absolute_underestimate
qwen35_9b,text2vec_base_chinese,0.04242526614115539,0.041338929712508014,0.043531866746469285,320,absolute_underestimate
qwen36_27b,bge_m3,0.05418683250046522,0.05302013082548304,0.055390130573268394,320,absolute_underestimate
qwen36_27b,multilingual_e5_large_instruct,0.05414553691467092,0.05284287078066707,0.05546614220096302,320,absolute_underestimate
qwen36_27b,text2vec_base_chinese,0.05386836076358883,0.05260209977772242,0.055138511649505555,320,absolute_underestimate
qwen36_35b_a3b,bge_m3,0.05091341464448147,0.04980019808092082,0.052035657539523016,320,absolute_underestimate
qwen36_35b_a3b,multilingual_e5_large_instruct,0.04962207328597151,0.04841773170389132,0.050827914365880585,320,absolute_underestimate
qwen36_35b_a3b,text2vec_base_chinese,0.04756564157434367,0.04637260961698795,0.0487434642176835,320,absolute_underestimate
qwen35_35b_a3b,bge_m3,0.2857142857142853,0.2857142857142853,0.28571428571428537,320,relative_underestimate
qwen35_35b_a3b,multilingual_e5_large_instruct,0.2857142857142857,0.2857142857142857,0.28571428571428575,320,relative_underestimate
qwen35_35b_a3b,text2vec_base_chinese,0.28571428571428537,0.28571428571428537,0.2857142857142854,320,relative_underestimate
