model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,median_absolute_error,0.16454458255883053,0.16096218164534631,0.16800434532189132,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,spearman,0.7024959929310111,0.6732561869095174,0.730565534587379,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,pearson,0.7110669395187664,0.6821753812418931,0.7398859411232679,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,calibration_slope,0.23436684428148363,0.2228987645696318,0.2460118295539885,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,calibration_intercept,0.3828597816582889,0.37505734957758446,0.3910404861859312,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,mae,0.20172997239342685,0.2011841034472526,0.20232050978954552,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,median_absolute_error,0.17156576425058528,0.17052489856351313,0.1726956886545932,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,spearman,0.044374999999999984,-0.01625,0.1028125,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,pearson,0.028368142045634048,-0.030041671696865616,0.08811752014790963,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,calibration_slope,-0.00041220772848387066,-0.002502828361571884,0.0017511059222371607,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,length_only_grouped_cv,calibration_intercept,0.5004924914528274,0.49881657965310205,0.5022411939122058,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,raw_projection,mae,0.17550259340939636,0.17154696101273897,0.17957017809699297,320,sentence-encoder inference; no LLM request,,0,,,external_pending
